# GOA version used: 2020-10-06
#GO	IC	Frequency
GO:0045905	4.440465919050528	3.6268874686868636e-05
GO:0060722	6.8622525913393835	1.3732430466210253e-07
GO:0032049	3.834246487832475	0.00014647162917820594
GO:0007456	8.41855509210667	3.814564018391737e-09
GO:0003996	4.267294350285781	5.403879419118474e-05
GO:0045593	8.41855509210667	3.814564018391737e-09
GO:0047760	6.108138655779788	7.795811764529691e-07
GO:0097631	6.602302219599669	2.4986060107668914e-07
GO:0033581	8.117525096442689	7.629128036783474e-09
GO:1904659	4.260766005824622	5.4857245148491574e-05
GO:0005951	5.665584055143877	2.159811975408669e-06
GO:0061303	5.863460643528351	1.3694284826026336e-06
GO:0014856	6.686161332283702	2.0598645699315382e-07
GO:0036314	5.2459521608968105	5.676071259366905e-06
GO:0052059	8.41855509210667	3.814564018391737e-09
GO:1901002	5.75863889203682	1.743255756405024e-06
GO:0000919	5.912050059701798	1.2244750499037476e-06
GO:0050856	4.983666971239354	1.038324325806231e-05
GO:0102831	8.583809844104218	2.60729490452498e-09
GO:0010900	7.076132411284464	8.392040840461823e-08
GO:0008700	4.822935206052028	1.5033662419491035e-05
GO:0035502	6.160876517237486	6.904360873289044e-07
GO:0080006	6.765342578331326	1.7165538082762818e-07
GO:0070174	8.41855509210667	3.814564018391737e-09
GO:0019691	8.41855509210667	3.814564018391737e-09
GO:0034386	4.57346747796465	2.670130711724032e-05
GO:0015599	8.282779848440237	5.21458980904996e-09
GO:0033045	3.9715366778590124	0.00010677346143880312
GO:0033955	6.775102415620483	1.6784081680923645e-07
GO:0070360	8.41855509210667	3.814564018391737e-09
GO:0071459	4.818017797742201	1.5204852177309466e-05
GO:0015806	7.7195850877706516	1.9072820091958688e-08
GO:0032426	5.449392270413114	3.553102445819359e-06
GO:0033415	8.583809844104218	2.60729490452498e-09
GO:0051699	6.770896487461362	1.694741687941237e-07
GO:0102390	7.73871180408996	1.825106433167486e-08
GO:0002751	8.41855509210667	3.814564018391737e-09
GO:0008425	3.909260993471115	0.0001232364009572777
GO:0033224	8.583809844104218	2.60729490452498e-09
GO:0009024	4.464586957180634	3.430939364864421e-05
GO:1901565	2.0437682660118197	0.00904131778203228
GO:0030695	2.9406000456164993	0.001146568363444478
GO:0009318	3.5579152850452926	0.0002767481427078061
GO:0042276	4.918181377753297	1.2073095118209849e-05
GO:0033510	8.41855509210667	3.814564018391737e-09
GO:0002021	5.710984916008734	1.945427649379786e-06
GO:0110166	8.41855509210667	3.814564018391737e-09
GO:0098554	5.901862520182875	1.2535379308254235e-06
GO:0018206	4.800193160996792	1.5841884368380884e-05
GO:0031393	6.3578572517530585	4.386748621150498e-07
GO:0043363	6.445427238506972	3.585690177288233e-07
